cluster	gene
Ductal cell TFF1	S100A6
Ductal cell TFF1	FXYD3
Ductal cell TFF1	CLIC3
Ductal cell TFF1	C19orf33
Ductal cell TFF1	GSTP1
Ductal cell TFF1	TFF1
Ductal cell TFF1	TFF2
Ductal cell TFF1	SMIM22
Ductal cell TFF1	TFF3
Ductal cell TFF1	CST3
Ductal cell TFF1	S100A10
Ductal cell TFF1	PHGR1
Ductal cell TFF1	TSPAN1
Ductal cell TFF1	CTSE
Ductal cell TFF1	REG4
Ductal cell TFF1	KRT19
Ductal cell TFF1	IFI27
Ductal cell TFF1	LGALS4
Ductal cell TFF1	SYT8
Ductal cell TFF1	S100A11
Ductal cell TFF1	CYBA
Ductal cell TFF1	AC008397.1
Ductal cell TFF1	ELOB
Ductal cell TFF1	COX7B
Ductal cell TFF1	SLPI
Ductal cell TFF1	SH3BGRL3
Ductal cell TFF1	COX5B
Ductal cell TFF1	TIMP1
Ductal cell TFF1	MUC1
Ductal cell TFF1	PI3
Ductal cell TFF1	TAGLN2
Ductal cell TFF1	LINC01133
Ductal cell TFF1	TMEM141
Ductal cell TFF1	ANXA10
Ductal cell TFF1	PRDX5
Ductal cell TFF1	PRAP1
Ductal cell TFF1	ADIRF
Ductal cell TFF1	AGR2
Ductal cell TFF1	TSPO
Ductal cell TFF1	CEACAM6
Ductal cell TFF1	PSCA
Ductal cell TFF1	C8G
Ductal cell TFF1	COX6C
Ductal cell TFF1	KRT8
Ductal cell TFF1	VSIG2
Ductal cell TFF1	OCIAD2
Ductal cell TFF1	TSPAN8
Ductal cell TFF1	ATP5F1E
Ductal cell TFF1	MDK
Ductal cell TFF1	SSR4
Ductal cell TFF1	ATP5IF1
Ductal cell TFF1	MIF
Ductal cell TFF1	QSOX1
Ductal cell TFF1	NDUFB3
Ductal cell TFF1	ETFB
Ductal cell TFF1	RHOC
Ductal cell TFF1	SLC39A4
Ductal cell TFF1	UQCR11
Ductal cell TFF1	MSMB
Ductal cell TFF1	SLC22A18
Ductal cell TFF1	AOC1
Ductal cell TFF1	HSD17B2
Ductal cell TFF1	NDUFA1
Ductal cell TFF1	TXNDC17
Ductal cell TFF1	AKR1B10
Ductal cell TFF1	VAMP8
Ductal cell TFF1	CD63
Ductal cell TFF1	LGALS3BP
Ductal cell TFF1	SELENBP1
Ductal cell TFF1	CHCHD10
Ductal cell TFF1	PRDX2
Ductal cell TFF1	LY6E
Ductal cell TFF1	CDHR5
Ductal cell TFF1	S100A4
Ductal cell TFF1	TXN
Ductal cell TFF1	SFTA2
Ductal cell TFF1	PKM
Ductal cell TFF1	NDUFB2
Ductal cell TFF1	S100A16
Ductal cell TFF1	CRIP1
Ductal cell TFF1	TM4SF5
Ductal cell TFF1	CYSTM1
Ductal cell TFF1	TMEM54
Ductal cell TFF1	ABCC3
Ductal cell TFF1	LGALS3
Ductal cell TFF1	BLVRB
Ductal cell TFF1	NDUFB7
Ductal cell TFF1	UQCR10
Ductal cell TFF1	PTGDS
Ductal cell TFF1	MGST2
Ductal cell TFF1	PLA2G10
Ductal cell TFF1	FAM3D
Ductal cell TFF1	LAMTOR4
Ductal cell TFF1	S100A14
Ductal cell TFF1	GAPDH
Ductal cell TFF1	GSTK1
Ductal cell TFF1	MGST3
Ductal cell TFF1	TST
Ductal cell TFF1	MGST1
Ductal cell TFF1	DHRS7
Ductal cell TFF1	MUC5B
Ductal cell TFF1	IFI27L2
Ductal cell TFF1	HPGD
Ductal cell TFF1	MUC3A
Ductal cell TFF1	STARD10
Ductal cell TFF1	CES2
Ductal cell TFF1	CRABP2
Ductal cell TFF1	GSTA1
Ductal cell TFF1	GPX2
Ductal cell TFF1	ITGB4
Ductal cell TFF1	SULT1C2
Ductal cell TFF1	C15orf48
Ductal cell TFF1	FDPS
Ductal cell TFF1	JSRP1
Ductal cell TFF1	WFDC2
Ductal cell TFF1	MMP1
Ductal cell TFF1	NDUFA4L2
Ductal cell TFF1	S100A2
Ductal cell TFF1	NTS
Ductal cell TFF1	AKR1C2
Ductal cell TFF1	MMP7
Ductal cell RPS3	RPS28
Ductal cell RPS3	RPS29
Ductal cell RPS3	RPS27
Ductal cell RPS3	RPL38
Ductal cell RPS3	RPS9
Ductal cell RPS3	RPL5
Ductal cell RPS3	RPL26
