Class_1A_Primary	Class_1B+PRAME+_Met	Class_2_PRAME-_Primary	Class_2_PRAME+_Primary
SNHG7	IFI27	IGFBP5	GDF15
HHATL	EDNRB	PROS1	CITED1
RPS26	PDCD4	S100A6	IGFBP7
RPS12	SYNPR	HTN1	LY6E
RPL32	BANCR	LGALS3	ST3GAL4
RPS6	TFAP2A	PAEP	PTP4A3
CHCHD10	GSTA3	APOD	SDCBP
ZFAS1	LINC00681	CTSK	QDPR
RPL29	CTC-340A15.2	MGST1	IFI6
RPSA	S100B	GPR137B	GRINA
RPL12	COL11A2	RIMS2	LRPAP1
EPB41L4A-AS1	LPAR6	LGALS1	GPM6B
RPL15	AP1S2	VGF	NDUFB9
RPL35A	CRNDE	CTSB	GAPDH
RPL7A	SORBS2	PHLDA2	DMKN
RPL24	PMEL	TIMP1	PIR
RPL14	STMN1	SPON2	CYC1
RPS23	TUBB4A	PDLIM3	COX6C
RPL18	MT-ND3	IFITM3	S100A1
RPS13	MARCKSL1	PCSK1	ARC
EEF1A1	GSTP1	S100A16	ZNF106
RPL5	LINC00518	UCHL1	RAB2A
RPL34	TRPM1	ECM1	GEM
RPL36	MITF	CNTNAP5	TCEB1
RPS25	BAMBI	GSN	GPX3
RPS19	CTNNB1	FAM20A	APOC1
RPL18A	BCAS4	WIPI1	NSG1
RPL13	UBL3	ITGB8	BNIP3
RPS2	MXI1	IGFBP2	MTSS1
RPL10A	HSPB1	AK5	LAPTM4B
RPL35	SPP1	PRKCDBP	ENO1
SNHG8	CDK2	HTRA1	GPR143
RPS3A	HPS5	IGFBP4	CRYAB
RPS8	ABCB5	SPHK1	PRAME
TYRP1	PHLDA1	SLC7A2	MTDH
TOMM7	APOE	RAB40B	TCEA1
RPL21	TRIB2	SLC16A6	METTL9
RPL37	PMP22	HTR2B	PHACTR1
RPS18	EMP1	COL18A1	TMEM55A
GNB2L1	PRDX1	NT5E	FABP3
RPL3	ANKRD28	TNFRSF19	PAX3
MLANA	ROPN1	GAPDH	SOD3
C6orf48	PTMA	NPDC1	SPON2
RPS28	MYLK	SLC22A18	ENY2
RPS3	FDFT1	ARSG	RPL7
RPS14	NRN1	CD9	MYC
RPS24	FAM126A	GABBR2	LDHA
RPL37A	SERPING1	CD109	TPI1
RPS9	DSP	COL1A2	EXOSC4
RPS7	RPS7	CADM1	C4orf48
GNG11	ROPN1B	ANXA1	BIRC7
RPS27A	RPS24	SERPINE1	PUF60
NME2	LNP1	PERP	CDKN1A
RPS5	RBPMS	PCDHGA12	GAPDHS
RPS4X	SLCO4A1-AS1	SLC43A3	MRPL15
RPS15	MT-ND4	PLEKHA4	PABPC1
TPT1	SNHG7	ANTXR1	SEPHS2
COX4I1	MAL	C16orf45	TSPAN3
RPS16	MT-ND2	RP11-557H15.4	SERPINF1
RPL31	COMMD6	THBS2	HMGA1
PFDN5	EIF4A2	SOCS2	IFITM3
PMEL	RPLP1	STMN3	MDK
RPL39	MLANA	IL1R1	CEBPD
RPL38	MT-CO2	LINC00473	RAB38
SLC24A5	LIMS2	NBL1	MRPL44
EMCN	FHL2	AC004556.1	ATF3
RPL9	MT-CYB	SCCPDH	EFHD1
RPLP2	IFITM1	ARHGAP29	VPS28
RPLP0	SAT1	PCDHGC3	BSG
EEF1B2	MT-ATP6	CLMN	UBE2V2
EIF3K	TMSB10	CCND2	S100A13
RPS21	PPDPF	HSD3B7	ARID5B
RPLP1	AHCYL2	DDR1	MIF
RP11-11N9.4	SLC44A3	MYOF	LGALS3BP
RPS15A	RPL26	PTPN13	PRKDC
COX7C	RPL32	MATK	ATP5I
RPL11	RPS4X	SYNJ2	LMNA
NACA	RPL15	ITGA3	KIF21A
RPL10	RPL39	ABCA8	CHCHD6
BTF3	RPL35A	PLD1	COPS5
RPL22	RPL28	RHOC	LYPLA1
ATP5L	RPL12	SOD2	GPAA1
EEF2	VIM	SHTN1	MRPL13
RPL13A	RPL29	TPM4	C8orf59
RPL6	TYRP1	ASS1	POLR2K
SLC25A6	RPS18	EEF1B2	RAMP1
RPL27A	RPL14	HTATIP2	YWHAZ
FAU	RPS8	PLEKHA1	TRIB1
UBA52	RPS9	CRIP2	SPTBN1
EIF3E	IGHG4	MAD1L1	SLC39A4
RPL19	RPS15	VLDLR	UQCRB
NPM1	RPS2	RAB31	OTUD6B-AS1
RPS27	TIMP3	TRPV2	TSPAN10
RPL4	RPL24	ACADVL	HACD1
ATP5G2	SNCA	SFT2D2	MLPH
RPL23A	EFHD1	FTH1	MEA1
RPL28	CRTAC1	SRPX	WARS
RPL8	STXBP6	SLC24A5	EIF3H
EEF1D	SLC6A15	PYGB	MYO10
FAM210B	RASD1	TNFRSF12A	MYL9
RPL27	DYNLL1	PTGR1	EIF5A
RPS11	TEX41	DAP	NQO1
SNCA	EIF1B	RCAN1	ADI1
AC090498.1	MT-CO3	PLP2	CHAC1
TEX41	MLF1	DYNC1LI2	STK32A
SLCO4A1-AS1	CAV1	CYB5R3	STRADB
RPL23	TYR	TUBB6	NR4A1
LDHB	CD63	OLFM1	ANXA5
EIF3L	C8orf88	CCND1	ATP6V1C1
LINC00518	CTSF	S100A13	ALDOA
CIRBP	CSRP1	CDKN2A	P4HB
EIF4A2	RPUSD3	PKM	SPARC
SLC25A3	AGPAT2	EXOC3	CAPN3
GLTSCR2	GMPR	C1orf21	PKM
RPS17	C10orf11	SUMF2	GMPR
RBP7	PLP1	SEPT10	CYR61
CAV1	RBP7	GLUD1	MYO5A
BAMBI	HACD3	EEF2	EMC2
ST13	SF3B6	MVP	IGFBP2
FN3K	FAHD2A	KIT	SSU72
LETMD1	CD44	CCDC25	A2M
CRTAP	NDUFB4	ISG20	SNX8
NSA2	MFGE8	QPCT	P4HA1
RAB32	CUTA	PPP2R1A	HSPB7
TBC1D16	TSPO	CTTN	TMEM147
CTSL	PDE4DIP	BACE2	SLC25A4
RPL17	PTEN	CNN3	RHOBTB3
EIF4B	TMEM258	BSG	CA14
NBEAL1	H2AFZ	ALDOA	ASAP1
EIF3F	RHOBTB3	SERPINE2	SLC25A5
ALKBH7	PLEKHA5	APLP2	HSF1
EIF2A	EGR1	TAGLN2	RASGRP3
ASAH1	FAM213A	SHMT1	CRYL1
IMPDH2	SORBS1	NRP2	FKBP10
MITF	RPL36A	FAHD1	PTK2
GYPC	BACE2	FADS1	SHARPIN
CDK2	CERS4	CPVL	MRPS28
TOMM20	SERTAD1	ACO2	TTC3
COX7A2L	QPCT	CTBS	FOS
ABCB5	VDAC2	CAPN2	MRPS6
TKT	DUSP22	A2M	VDAC1
COMMD6	SLC25A33	ARPC1B	ATP5B
PHB2	SLC7A5	CHPF	HSPA2
RPL36A	CTD-2380F24.1	PTRF	PPFIBP1
NDUFB5	MYLIP	ACOT7	MRPL14
EIF2S3	SMC6	AC007246.3	TSPAN4
SEC11A	ARL2	WARS	TBC1D7
ATP5D	SOX6	PIGT	ADM
SORBS1	C12orf76	ATP5B	CSTB
OXA1L	WDFY1	FNDC3A	MAF1
AHCY	USMG5	AEBP1	PDCD6
NARF	SNRPB	MMP14	TCEA3
EIF3M	TMA7	REV3L	SNRPC
HEBP1	RPL22L1	CSTB	AZIN1
SNX3	ZNF749	SNX9	MARCKSL1
TAF1D	TSPAN14	PPP1R14B	BACE2
TYR	HMGN3	BDH2	ILVBL
CCNG1	SNAI2	S100A10	KLF10
RWDD1	MAP3K13	GPI	SLC35B2
ESD	PTTG1IP	FLNA	APP
HIGD2A	LAPTM4A	CRADD	TMEM14C
FBL	CDH19	APP	FSCN1
IGBP1	RAC1	TRAF7	MFGE8
OSTM1	MAP4K5	GBA	FMN1
SF3B5	HSBP1	NEK6	SQSTM1
RARRES2	MYC	TIMP2	PGK1
POLR1D	YWHAQ	SPATA20	DECR1
	EPS8L2	ACTN1	SGCD
	C19orf43	G6PC3	ZNF706
	TKT	CLIC4	HES6
	MFSD12	CD151	TUBB
	GSN	DYNLT3	HSPB8
	IFT81	MPV17	SLIRP
	HIST3H2A	VAT1	PGAM1
	NUTM2B-AS1	STXBP1	KDELR1
	KLF10	PLOD3	CLIC4
	BFAR	SCARB2	INPP4B
	NEU1	PUM3	NDRG1
	NUTM2A-AS1	RAC3	NUPR1
	SUCLG1	ANXA4	CKS2
	MRPL43	RAB13	PLP1
	ATP1A1	TUBA1A	ASPH
	VPS26A	GTF3C6	RCAN1
	RABGGTB	NENF	UQCRQ
	RNF11	WDR45	PSMB5
	INTS6	DUSP14	C11orf31
	PYURF	SYNE2	OCIAD1
	TXN	TMEM208	CHCHD7
	CALD1	IDH3G	SRD5A3
	RAB7A	PLPP2	NME4
	XIST	LHFPL2	RGS20
	WDR83OS	PLPP5	BST2
	HNRNPH3	SEPT11	G6PC3
	DYNLRB1	FKBP1A	GLMP
	TRAF4	TYR	MGST2
	IFI27L2	TRAP1	C1QBP
	IMPDH2	EPRS	YIPF3
	HIPK2	RPL26	RTN4
	CTSZ	MYO1D	PHLDA2
	MOK	ARMC9	C8orf33
	ESD	DDRGK1	ZNF704
	UBE2D1	PABPC4	MAGED2
	TMEM98	PGAM1	YWHAQ
	LTA4H	LRP10	PHB
	WSB1	CLIP1	EGR1
	KHDRBS1	NME4	RPL8
	TGIF1	RNH1	CHP1
	ATP6V0C	RNF187	RPS20
	HNRNPAB	EMC10	GNAS
	CAMTA1	GEM	SRP14
	SIAH1	CYSTM1	EXOC3
	FBXO7	AP1S1	PPIB
	GNG5	SORT1	SLC7A8
	SCD	EEF1A1	GPRC5B
	PCNP	YBX1	VAT1
	PDE6D	IPO5	IFI27
	BRI3	CD55	LY96
	AIF1L	HDLBP	COX5A
	CCNL1	PRDX2	CHPF
	FOSB	MINOS1	TATDN1
	TMEM230	HSBP1	BAIAP2L2
	PPP1R16A	SGK1	NDUFAB1
	TMEM59	ABHD12	NUDT14
	NEDD8	MT2A	TIMM13
	ARF4	GNB2	CYHR1
	FOS	ANXA11	HDLBP
	HMG20B	FN3K	UBA2
	ZFAND5	DCTN1	MTCH1
	PPP1R15A	PTPN11	LRRN4CL
	SYNGR1	CTD-3252C9.4	DNPH1
	UROS	GUK1	GSTA4
	DDX21	STOM	GRPEL1
	MGMT	TUFM	HTR2B
	CCS	LMNA	NHP2
	POLR2F	SDHA	PSMD8
	HSBP1L1	SPTSSA	DDIT3
	HPS1	SHC1	TNFRSF14
	TMEM256	ADAM10	ARMC9
	RTTN	DPP7	C1orf43
	PPP1R10	IFITM2	RCN2
	LSM3	CDK16	SPG21
		RP11-290D2.6	MRPS18B
		NEDD4L	C10orf10
		CAST	FAM174B
		LGALS3BP	TMEM70
		SPARC	MT1E
		SERPING1	CLPTM1
		LARS	SEPW1
		H2AFJ	STXBP6
		NFIC	CTSF
		FMN1	SQLE
		TMBIM1	WDR1
		S100A11	MRFAP1
		MACROD1	TRAK2
		GNS	ITM2C
		FABP3	ANXA2
		DYNC1H1	GPI
		COX6A1	SLC38A5
		PTMS	TMEM14B
		PRKAR1A	PRDX5
		HADHB	RGS16
		SERINC1	CMB9-22P13.1
		SLC25A39	CCT3
		PPIA	SGK1
		HMGA1	SLC39A1
		TXN	APOA1BP
		COMT	YWHAE
		LEPROT	EIF3E
		MGST2	TSTA3
		CSRP1	PPP1R11
		GPNMB	ATP6V1G1
		COPS8	KLF4
		HM13	DUSP14
		RARRES2	PARK7
		MPC1	CYP27A1
		TCP1	VMP1
		VDAC1	SOX4
		COX7A2	PARVB
		GPM6B	CHCHD2
		ATP1A1	COMT
		HIBADH	NGFRAP1
		MAP1LC3B	NOL7
		OCA2	RPL7L1
		DECR1	DCAF13
		PFKL	RB1CC1
		PEA15	NDUFV2
		SERINC3	ISYNA1
		CALD1	TIMP2
		MIF	ANXA4
		OAT	PEX2
		ST3GAL1	EMC4
		BCAP31	MLEC
		CTNNA1	KLHDC3
		C11orf96	ATP6V1H
		ATP6V1G1	MRPL40
		AP000769.1	EIF4EBP3
		PPA1	COMMD5
		CYR61	UQCC2
		CNIH4	ATP5G3
		TXNDC17	EI24
		SLC7A8	CHMP2A
		C1QBP	ZBTB10
		PSAP	CD59
		YWHAQ	TMED10
		CALU	ACTG1
		SPTBN1	RAD21
		ATP5D	ZCCHC17
		AHCY	MAGED1
		P4HB	MDH1
		PDCD5	RAN
		GPAA1	RBM3
		ANXA2	HM13
		MPG	LTBR
		YBX3	MRPL51
		SEP15	SLC3A2
		PRDX5	PDAP1
		LAMP1	LSM4
		SDHC	C6orf1
		TPI1	MRPS34
		MDH2	LAMTOR5
		GSTO1	TUBA1C
		ATP5A1	SHC1
		RPL41	COA4
		SEPT2	MT1G
		GNPTG	PRDX3
		AUP1	GALE
		FBXW5	MORF4L2
		TMED10	PDIA3
		FIS1	PRDX4
		KLF4	ATP6V0B
		TMEM98	PFN2
		ATP5H	UQCR10
		KDELR1	RPS27L
		AHNAK	SIGIRR
		ATP6AP1	MFAP2
		PLXNC1	RGS12
		EPS8	CRTAC1
		C9orf16	MRPL24
		NUCB1	TMEM98
		XRN2	DAD1
		PSMB1	SH3BGRL
		PSMB7	PAICS
		NDUFV1	SCARB1
		PRDX3	SBDS
		VIM	MET
		HEXB	TMED1
		UBA52	KDELR3
		MGST3	TRMT112
		CHCHD2	PPM1K
		MTCH1	JUN
		DSTN	MLF2
		PLK2	PHF20L1
		PTTG1IP	SDHC
		AMD1	SLC25A32
		CANX	PEBP1
		SEC11C	EBAG9
		CD63	GADD45GIP1
		SLC25A3	HSP90AB1
		CNIH1	PTDSS1
		MDH1	MFSD10
		RBM3	CHD7
		SNX3	NDUFV1
		NDUFV2	NDUFA6
		XRCC5	IMP3
		DDT	ST3GAL1
		CD59	RPS10
