,seqname,gene_name,start,end,strand,gene_id
0,chr1,DDX11L1,11869,14409,+,ENSG00000223972.5
12,chr1,WASH7P,14404,29570,-,ENSG00000227232.5
25,chr1,MIR6859-1,17369,17436,-,ENSG00000278267.1
28,chr1,MIR1302-2HG,29554,31109,+,ENSG00000243485.5
36,chr1,MIR1302-2,30366,30503,+,ENSG00000284332.1
39,chr1,FAM138A,34554,36081,-,ENSG00000237613.2
47,chr1,OR4G4P,52473,53312,+,ENSG00000268020.3
50,chr1,OR4G11P,57598,64116,+,ENSG00000240361.2
57,chr1,OR4F5,65419,71585,+,ENSG00000186092.7
69,chr1,ENSG00000238009,89295,133723,-,ENSG00000238009.6
92,chr1,ENSG00000239945,89551,91105,-,ENSG00000239945.1
96,chr1,CICP27,131025,134836,+,ENSG00000233750.3
99,chr1,ENSG00000268903,135141,135895,-,ENSG00000268903.1
102,chr1,ENSG00000269981,137682,137965,-,ENSG00000269981.1
105,chr1,ENSG00000239906,139790,140339,-,ENSG00000239906.1
109,chr1,ENSG00000241860,141474,173862,-,ENSG00000241860.7
137,chr1,RNU6-1100P,157784,157887,-,ENSG00000222623.1
140,chr1,ENSG00000241599,160446,161525,+,ENSG00000241599.1
144,chr1,DDX11L17,182696,184174,+,ENSG00000279928.2
151,chr1,WASH9P,185217,195411,-,ENSG00000279457.4
163,chr1,MIR6859-2,187891,187958,-,ENSG00000273874.1
166,chr1,ENSG00000228463,257864,359681,-,ENSG00000228463.10
191,chr1,ENSG00000286448,266855,268655,+,ENSG00000286448.1
195,chr1,RPL23AP24,347982,348366,-,ENSG00000236679.2
198,chr1,ENSG00000236601,358857,366052,+,ENSG00000236601.2
208,chr1,ENSG00000237094,365389,522928,-,ENSG00000237094.12
316,chr1,WBP1LP7,439870,440232,+,ENSG00000269732.1
319,chr1,OR4F29,450740,451678,-,ENSG00000284733.2
326,chr1,CICP7,487101,489906,+,ENSG00000233653.3
330,chr1,ENSG00000250575,491225,493241,-,ENSG00000250575.1
334,chr1,U6,516376,516479,-,ENSG00000278757.1
337,chr1,ENSG00000230021,586071,827796,-,ENSG00000230021.10
412,chr1,ENSG00000235146,587629,594768,+,ENSG00000235146.2
419,chr1,MTND1P23,629062,629433,+,ENSG00000225972.1
422,chr1,MTND2P28,629640,630683,+,ENSG00000225630.1
425,chr1,MTCO1P12,631074,632616,+,ENSG00000237973.1
428,chr1,ENSG00000278791,632325,632413,-,ENSG00000278791.1
431,chr1,MTCO2P12,632757,633438,+,ENSG00000229344.1
434,chr1,MTATP8P1,633535,633741,+,ENSG00000240409.1
437,chr1,MTATP6P1,633696,634376,+,ENSG00000248527.1
440,chr1,MTCO3P12,634376,634922,+,ENSG00000198744.5
443,chr1,WBP1LP6,674842,675265,+,ENSG00000268663.1
